Trial 	TargetX 	TargetY 	TargetZ 	PenaltyX	PenaltyY	PenaltyZ	StartX  	StartY  	StartZ  	ScaleX  	ScaleY  	ScaleZ  	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX      	EndY      	EndZ      	StartTime   	EndTime     	Score   	Result      	TargetSeed  
1     	-0.200  	1.200   	2.500   	-0.200  	1.700   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001     	0.999     	2.298     	0.000     	0.998     	2.300     	-0.210    	1.197     	2.501     	5.435       	6.217       	300     	Hit         	866411566   
2     	0.200   	1.200   	2.500   	0.700   	1.200   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001     	0.998     	2.302     	0.002     	1.000     	2.302     	0.186     	1.213     	2.520     	9.353       	9.998       	600     	Hit         	866411567   
3     	0.200   	1.000   	2.500   	0.200   	1.500   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	0.998     	2.302     	0.002     	0.997     	2.303     	0.196     	0.978     	2.507     	13.134      	13.705      	900     	Hit         	866411568   
4     	0.200   	0.800   	2.500   	-0.300  	0.800   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	0.998     	2.303     	0.001     	0.998     	2.302     	0.234     	0.787     	2.526     	16.731      	17.339      	1200    	Hit         	866411569   
5     	0.000   	0.800   	2.500   	0.500   	0.800   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	0.999     	2.300     	0.000     	0.997     	2.299     	-0.042    	0.818     	2.516     	20.387      	21.159      	1500    	Hit         	866411570   
6     	-0.200  	1.000   	2.500   	-0.200  	0.500   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001     	0.998     	2.298     	-0.004    	0.997     	2.302     	-0.211    	1.022     	2.500     	24.325      	25.095      	1800    	Hit         	866411571   
7     	0.200   	1.000   	2.500   	-0.300  	1.000   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.002    	0.997     	2.302     	0.000     	0.997     	2.302     	0.225     	1.018     	2.509     	27.978      	28.839      	2100    	Hit         	866411572   
8     	0.200   	1.200   	2.500   	0.700   	1.200   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.001    	0.999     	2.300     	-0.001    	1.000     	2.299     	0.178     	1.202     	2.494     	31.767      	32.349      	2400    	Hit         	866411573   
9     	0.200   	1.200   	2.500   	0.700   	1.200   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	1.000     	2.297     	0.000     	1.001     	2.296     	0.000     	1.001     	2.296     	35.405      	35.427      	2400    	Neutral     	866411574   
10    	0.200   	0.800   	2.500   	0.200   	0.800   	2.550   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.002    	0.998     	2.302     	0.000     	0.996     	2.302     	0.197     	0.829     	2.483     	38.250      	38.881      	2700    	Hit         	866411575   
